外国語 (英語二列 W) ALESS

(英語二列 W) ALESS

Active Learning of English for Science Students (ALESS)                                  開講区分     | S |

In this course, students learn about formal scientific writing and style in English: the organization, language,
and rhetoric of scientific papers: and the process of writing and preparing formal papers through peer review
and revision.

投業の方法               Class activities include reading and analyzing scientific writing in English, designing a research project。 group

work, peer review of student writing, and speaking activities. Each student writes a research paper based on an
application of the scientific method.

The class is taught in English, and students are encouraged to speak English in class. Graduate-student teaching
assistants are available in the ALESS Lab and the Komaba Writers' Studio to help students with their research,
writing, and presentation.

Grades are based on writing a research paper, speaking activities, written assignments, and participation in
class activities.

https://ale2.c.u-tokyo.ac.jp/

区請すぁクラメに   ついては、UTAS を参照すること
革問逢
間   曜限             担当教員                      対象クラス
30032     月 2                 Francesco Cangemi                             年 理一($,13.19.23)
30053     月 2                 Candler Hallman                              年 理一($,13.19.23)
30034     月 2              Jesus Alberto Pulido Arcas                           年 理一($,13.19.23)
30055     月 2                  Naomi Berman                              年 理一($,13.19.23)
30036     月 2                Alexandra Terashima                            年 理一($,13.19.23)
30037     月 2                Kristopher McEown                             年 理一($,13.19.23)
30058     月 2                  Elisa Ruiz-Tada                              年 理一($,13.19.23)
30039     月 2              Raquel Moreno Penaranda                           年 理一($,13.19.23)
30060     月 2               John Solomon Maninang                            年 理一($,13.19.23)
30061     月 2                Christopher Nickin                             年 理一($,13.19.23)
30062     月 2                  Graham Peebles                               年 理一($,13.19.23)
30101      月 3                Raquel Moreno Penaranda                            年 理一9.14-13.28,30.34)
30102      月 3                   Naomi Berman                               年 理一9.14-15.28.30.34)
30103      月 3                    Stefanie Mack                               年 理一9.14-15.28.30.34)
30104      月 3                   Elisa Ruiz-Tada                              年 理一9.14-15.28.30.34)
30105      月 3                   Candler Hallman                              年 理一9.14-15.28.30.34)
30106      月 3               Jesus Alberto Pulido Arcas                           年 理一9.14-15.28.30.34)
30107      月 3                  Francesco Cangemi                              年 理一9.14-13.28,30.34)
30108      月 3                   Graham Pecbles                               年 理一9.14-15.28.30.34)
30109      月 3                 Kristopher McEown                             年 理一9.14-15.28.30.34)
30110      月 3                 Christopher Nickin                             年 理一9.14-13.28,30.34)
30111      月 3                Isaac Tyrone Ghampson                           年 理一9.14-13.28,30.34)
30112     月 3                   Manuel Senna                             年 理一9.14-15.28.30.34)
30114     月 3                   Tito Akindele                              年 理一9.14-15.28.30.34)
30115      月 3                John Solomon Maninang                            年 理一9.14-13.28,30.34)
30189     月 4                 Francesco Cangemi                          1年 理一⑦)理二三(1-3,10.15)
30190     月 4                 Elisa Ruiz-Tada                         1年 理一⑦理二三(1-3.10.15)
30191      月 4                Isaac Tyrone Ghampson                         1年 理一⑦)理二三(1-3,10.15)
30192      月 4                 Alexandra Terashima                          1年 理一⑦)理二三(1-3,10.15)
30194     月 4                Kristopher McEown                        1年 理一⑦理二三(1-3.10.15)
30195      月 4                Raquel Moreno Penaranda                         1年 理一⑦)理二三(1-3,10.15)

